state,county,total_Eligible,total_Other,"total_Ineligible, Ownership Not Verified",percent_Eligible,percent_Other,"percent_Ineligible, Ownership Not Verified"
GA,Troup (County),18,252,3,6.6,92.3,1.1
GA,Turner (County),78,723,78,8.9,82.3,8.9
GA,Twiggs (County),,7,,,100,
GA,Union (County),,21,,,100,
GA,Upson (County),2,72,,2.7,97.3,
GA,Walker (County),43,550,4,7.2,92.1,0.7
GA,Walton (County),,57,,,100,
GA,Ware (County),,63,,,100,
GA,Warren (County),,3,,,100,
GA,Washington (County),,19,,,100,
GA,Wayne (County),18,478,17,3.5,93.2,3.3
GA,Wheeler (County),,3,,,100,
GA,White (County),,2,,,100,
GA,Whitfield (County),,81,,,100,
GA,Wilcox (County),10,51,4,15.4,78.5,6.2
GA,Wilkes (County),,3,,,100,
GA,Wilkinson (County),,4,,,100,
GA,Worth (County),114,1366,80,7.3,87.6,5.1
HI,Hawaii (County),592,2231,72,20.4,77.1,2.5
HI,Honolulu (County),60,308,4,16.1,82.8,1.1
HI,Kauai (County),68,378,15,14.8,82,3.3
HI,Maui (County),,16,,,100,
IA,Adair (County),,10,,,100,
IA,Adams (County),,3,,,100,
IA,Allamakee (County),,7,,,100,
IA,Appanoose (County),66,276,3,19.1,80,0.9
IA,Audubon (County),,1,,,100,
IA,Benton (County),59,620,26,8.4,87.9,3.7
IA,Black Hawk (County),82,646,2,11.2,88.5,0.3
IA,Boone (County),35,434,19,7.2,88.9,3.9
IA,Bremer (County),,17,,,100,
IA,Buchanan (County),,3,,,100,
IA,Buena Vista (County),,5,,,100,
IA,Butler (County),,5,,,100,
IA,Calhoun (County),9,99,2,8.2,90,1.8
IA,Carroll (County),,14,,,100,
IA,Cass (County),,20,,,100,
IA,Cedar (County),36,298,9,10.5,86.9,2.6
IA,Cerro Gordo (County),,42,,,100,
IA,Cherokee (County),47,263,,15.2,84.8,
IA,Chickasaw (County),,3,,,100,
IA,Clarke (County),,2,,,100,
IA,Clay (County),,7,,,100,
IA,Clayton (County),1,37,,2.6,97.4,
IA,Clinton (County),22,511,14,4,93.4,2.6
IA,Crawford (County),,12,,,100,
IA,Dallas (County),,20,,,100,
IA,Davis (County),,5,,,100,
IA,Decatur (County),7,45,2,13,83.3,3.7
IA,Delaware (County),105,249,,29.7,70.3,
IA,Des Moines (County),,22,,,100,
IA,Dickinson (County),,6,,,100,
IA,Dubuque (County),39,329,2,10.5,88.9,0.5
IA,Emmet (County),,5,,,100,
IA,Fayette (County),39,219,2,15,84.2,0.8
IA,Floyd (County),,9,,,100,
IA,Franklin (County),23,96,,19.3,80.7,
IA,Fremont (County),372,405,9,47.3,51.5,1.1
IA,Greene (County),,3,,,100,
IA,Grundy (County),,5,,,100,
IA,Guthrie (County),,3,,,100,
IA,Hamilton (County),26,263,3,8.9,90.1,1
IA,Hancock (County),,11,,,100,
IA,Hardin (County),,7,,,100,
IA,Harrison (County),63,200,7,23.3,74.1,2.6
IA,Henry (County),,8,,,100,
IA,Howard (County),,11,,,100,
IA,Humboldt (County),15,105,1,12.4,86.8,0.8
IA,Ida (County),2,26,,7.1,92.9,
IA,Iowa (County),,5,,,100,
IA,Jackson (County),9,21,,30,70,
IA,Jasper (County),205,1406,43,12.4,85,2.6
IA,Jefferson (County),,5,,,100,
IA,Johnson (County),,116,,,100,
IA,Jones (County),16,37,,30.2,69.8,
IA,Keokuk (County),,5,,,100,
IA,Kossuth (County),5,36,1,11.9,85.7,2.4
IA,Lee (County),37,201,4,15.3,83.1,1.7
IA,Linn (County),1572,10816,204,12.5,85.9,1.6
IA,Louisa (County),30,59,1,33.3,65.6,1.1
IA,Lucas (County),14,103,3,11.7,85.8,2.5
IA,Lyon (County),25,124,,16.8,83.2,
IA,Madison (County),,4,,,100,
IA,Mahaska (County),70,292,1,19.3,80.4,0.3
IA,Marion (County),60,493,3,10.8,88.7,0.5
IA,Marshall (County),86,1074,48,7.1,88.9,4
IA,Mills (County),302,242,7,54.8,43.9,1.3
