GEOID,majority
39089,White
39091,White
39093,White
39095,White
39097,White
39099,White
39101,White
39103,White
39105,White
39107,White
39109,White
39111,White
39113,White
39115,White
39117,White
39119,White
39121,White
39123,White
39125,White
39127,White
39129,White
39131,White
39133,White
39135,White
39137,White
39139,White
39141,White
39143,White
39145,White
39147,White
39149,White
39151,White
39153,White
39155,White
39157,White
39159,White
39161,White
39163,White
39165,White
39167,White
39169,White
39171,White
39173,White
39175,White
40001,Non-White
40003,White
40005,White
40007,White
40009,White
40011,White
40013,White
40015,White
40017,White
40019,White
40021,Non-White
40023,White
40025,White
40027,White
40029,White
40031,White
40033,White
40035,White
40037,White
40039,White
40041,White
40043,White
40045,White
40047,White
40049,White
40051,White
40053,White
40055,White
40057,White
40059,White
40061,White
40063,White
40065,White
40067,White
40069,White
40071,White
40073,White
40075,White
40077,White
40079,White
40081,White
40083,White
40085,White
40087,White
40089,White
40091,White
40093,White
40095,White
40097,White
40099,White
40101,White
40103,White
40105,White
40107,White
40109,White
40111,White
40113,White
40115,White
40117,White
40119,White
40121,White
40123,White
40125,White
40127,White
40129,White
40131,White
40133,White
40135,White
40137,White
40139,Non-White
40141,White
40143,White
40145,White
40147,White
40149,White
40151,White
40153,White
41001,White
41003,White
41005,White
41007,White
41009,White
41011,White
41013,White
41015,White
41017,White
41019,White
41021,White
41023,White
41025,White
41027,White
41029,White
41031,White
41033,White
41035,White
41037,White
41039,White
41041,White
41043,White
41045,White
41047,White
41049,White
41051,White
41053,White
41055,White
41057,White
41059,White
41061,White
41063,White
41065,White
41067,White
41069,White
41071,White
42001,White
42003,White
42005,White
42007,White
42009,White
42011,White
42013,White
42015,White
42017,White
42019,White
42021,White
42023,White
42025,White
42027,White
42029,White
42031,White
42033,White
42035,White
42037,White
42039,White
42041,White
42043,White
42045,White
42047,White
42049,White
42051,White
42053,White
42055,White
42057,White
42059,White
42061,White
42063,White
42065,White
42067,White
42069,White
42071,White
42073,White
42075,White
42077,White
42079,White
42081,White
42083,White
42085,White
42087,White
42089,White
42091,White
42093,White
42095,White
42097,White
42099,White
42101,Non-White
42103,White
42105,White
42107,White
42109,White
42111,White
42113,White
42115,White
42117,White
42119,White
42121,White
42123,White
42125,White
42127,White
42129,White
42131,White
42133,White
44001,White
44003,White
44005,White
44007,White
44009,White
45001,White
45003,White
45005,Non-White
45007,White
45009,Non-White
45011,White
45013,White
45015,White
45017,White
45019,White
45021,White
45023,White
45025,White
45027,Non-White
45029,White
45031,White
45033,Non-White
45035,White
45037,White
45039,Non-White
45041,White
45043,White
45045,White
45047,White
45049,Non-White
45051,White
45053,Non-White
45055,White
45057,White
45059,White
45061,Non-White
45063,White
45065,White
45067,Non-White
45069,Non-White
45071,White
45073,White
45075,Non-White
45077,White
45079,Non-White
45081,White
45083,White
45085,Non-White
45087,White
45089,Non-White
45091,White
46003,White
46005,White
46007,Non-White
46009,White
46011,White
46013,White
46015,White
46017,Non-White
46019,White
46021,White
46023,White
46025,White
46027,White
46029,White
46031,Non-White
46033,White
46035,White
46037,White
46039,White
46041,Non-White
46043,White
46045,White
46047,White
46049,White
46051,White
46053,White
46055,White
46057,White
46059,White
46061,White
46063,White
46065,White
46067,White
46069,White
46071,Non-White
46073,White
46075,White
46077,White
46079,White
46081,White
46083,White
46085,White
46087,White
46089,White
46091,White
46093,White
46095,Non-White
46097,White
46099,White
46101,White
46102,Non-White
46103,White
46105,White
46107,White
46109,White
46111,White
46115,White
46117,White
46119,White
46121,Non-White
46123,White
46125,White
46127,White
46129,White
46135,White
46137,Non-White
47001,White
47003,White
47005,White
47007,White
47009,White
47011,White
47013,White
47015,White
47017,White
47019,White
47021,White
47023,White
47025,White
47027,White
47029,White
47031,White
47033,White
47035,White
47037,White
47039,White
47041,White
47043,White
47045,White
47047,White
47049,White
47051,White
47053,White
47055,White
47057,White
47059,White
47061,White
47063,White
47065,White
47067,White
47069,White
47071,White
47073,White
47075,Non-White
47077,White
47079,White
47081,White
47083,White
47085,White
47087,White
47089,White
47091,White
47093,White
47095,White
47097,White
47099,White
47101,White
47103,White
47105,White
47107,White
47109,White
47111,White
47113,White
47115,White
47117,White
47119,White
47121,White
47123,White
47125,White
47127,White
47129,White
47131,White
47133,White
47135,White
47137,White
47139,White
47141,White
47143,White
47145,White
47147,White
47149,White
47151,White
47153,White
47155,White
47157,Non-White
47159,White
47161,White
47163,White
47165,White
47167,White
47169,White
47171,White
47173,White
47175,White
47177,White
47179,White
47181,White
47183,White
47185,White
47187,White
47189,White
48001,White
48003,Non-White
48005,White
48007,White
48009,White
48011,White
48013,Non-White
48015,White
48017,Non-White
48019,White
48021,White
48023,White
48025,Non-White
48027,Non-White
48029,Non-White
48031,White
48033,White
48035,White
48037,White
48039,Non-White
48041,White
48043,White
48045,White
48047,Non-White
48049,White
48051,White
48053,White
48055,Non-White
48057,Non-White
48059,White
48061,Non-White
48063,White
48065,White
48067,White
48069,Non-White
48071,White
48073,White
48075,White
48077,White
48079,Non-White
48081,White
48083,White
48085,White
48087,White
48089,White
48091,White
48093,White
48095,White
48097,White
48099,White
48101,White
48103,Non-White
48105,Non-White
48107,Non-White
48109,Non-White
48111,Non-White
48113,Non-White
48115,Non-White
48117,Non-White
48119,White
48121,White
48123,White
48125,White
48127,Non-White
48129,White
48131,Non-White
48133,White
48135,Non-White
48137,Non-White
48139,White
48141,Non-White
48143,White
48145,White
48147,White
48149,White
48151,White
48153,Non-White
48155,White
48157,Non-White
48159,White
48161,White
48163,Non-White
48165,White
48167,White
48169,Non-White
48171,White
48173,White
