GEOID,plurality,majority,white,black,asian,american_indian,hispanic,urban_rural_code,urban_rural_cat
51107,White,White,56.11,7.26,18.46,0.08,13.62,2,urban
51109,White,White,78.04,14.72,0.58,0,2.94,6,rural
51111,White,White,59.4,31.1,2.77,0,4.96,6,rural
51113,White,White,84.65,8.25,0.84,0,2.89,6,rural
51115,White,White,85.71,8.84,0.6,0.03,2.53,2,urban
51117,White,White,60.01,35.37,0.09,0.01,2.96,6,rural
51119,White,White,77.55,13.91,0.08,0.29,1.25,6,rural
51121,White,White,83.27,4.37,6.62,0.02,3.24,4,suburban
51125,White,White,81.08,12.82,0.22,0,4.17,4,suburban
51127,White,White,78.95,11.98,1.12,0,3.3,2,urban
51131,White,White,54.23,33.08,1.03,0,8.78,6,rural
51133,White,White,69.72,27.33,0.13,0,0.87,6,rural
51135,White,White,54.32,40.08,0.3,0.19,4.41,6,rural
51137,White,White,78.08,12.71,0.88,0,5,6,rural
51139,White,White,94.06,1.37,0.43,0,2.01,6,rural
51141,White,White,89.71,5.92,0.41,0,3.05,6,rural
51143,White,White,74.06,19.99,0.45,0.04,2.63,5,rural
51145,White,White,85.73,10.05,0.25,0.16,2.19,2,urban
51147,White,White,61.45,30.76,0.83,0,4.17,6,rural
51149,White,White,54.87,31.01,1.45,0.41,8.12,2,urban
51153,White,Non-White,42.95,20.34,8.27,0.09,23.49,2,urban
51155,White,White,90.78,4.34,0.75,0.12,1.77,4,suburban
51157,White,White,88.44,4.54,0.52,0,3.89,2,urban
51159,White,White,60.56,26.52,0.34,0,7.13,6,rural
51161,White,White,85.81,5.92,3.09,0.01,3.1,3,suburban
51163,White,White,92.18,3.27,0.66,0,1.91,6,rural
51165,White,White,88.68,2.33,0.7,0.07,6.93,4,suburban
51167,White,White,96.71,1.01,0,0,1.17,6,rural
51169,White,White,96.63,0.58,0.31,0,1.38,3,suburban
51171,White,White,87.61,1.78,0.94,0,7.22,6,rural
51173,White,White,94.13,2.1,0.69,0.15,1.99,6,rural
51175,White,White,61.03,31.9,0.25,0,1.68,6,rural
51177,White,White,68.1,15.67,2.3,0.11,9.76,2,urban
51179,White,White,61.57,17.21,3.22,0.08,12.95,2,urban
51181,White,White,52.61,44.41,0.17,0,0.63,6,rural
51183,Black,Non-White,38.32,54.92,1.28,0,3.02,2,urban
51185,White,White,93.94,3.09,0.61,0.08,1.02,5,rural
51187,White,White,86.77,4.23,1.12,0,4.59,2,urban
51191,White,White,95.33,1.29,0.56,0.02,1.52,3,suburban
51193,White,White,63.92,25.9,0.65,0.01,6.46,6,rural
51195,White,White,91.46,5.29,0.41,0.05,1.24,5,rural
51197,White,White,93.8,2.9,0.45,0,1.25,6,rural
51199,White,White,70.71,12.85,5.52,0.23,6.43,2,urban
51510,White,White,51.93,21.15,5.78,0.03,16.69,1,urban
51520,White,White,88.15,5.7,0.22,0,2.31,3,suburban
51530,White,White,88.12,7.28,1.9,0.25,1.8,6,rural
51540,White,White,65.74,18.67,7.06,0.07,5.5,4,suburban
51550,White,White,57.43,29.31,3.06,0.06,6.18,2,urban
51570,White,White,72.32,14.64,4.15,0,5.87,2,urban
51580,White,White,80.99,12.49,1.16,0.2,2.38,6,rural
51590,Black,Non-White,42.39,48.76,1.18,0.08,4.32,5,rural
51595,Black,Non-White,24.46,62.84,0.26,0,6.8,6,rural
51600,White,White,56.22,4.92,17.17,0,17.18,2,urban
51610,White,White,71.74,4.64,9.88,0,10.67,2,urban
51620,Black,Non-White,36.86,56.68,1.26,0,1.1,6,rural
51630,White,White,59.42,20.65,2.67,0.14,10.68,2,urban
51640,White,White,79.09,4.97,0.64,0.25,14.5,6,rural
51650,Black,Non-White,38.17,49.19,2.42,0.12,5.76,2,urban
51660,White,White,66.14,6.48,3.82,0,19.74,4,suburban
51670,White,Non-White,46.46,42.21,1.37,0,7.93,2,urban
51678,White,White,79.12,8.67,3.45,0,6.12,6,rural
51680,White,White,62.34,28.36,2.44,0.01,4.17,3,suburban
51683,White,Non-White,40.83,13.21,5.14,0.08,36.64,2,urban
51685,Hispanic,Non-White,33.09,12.78,11.09,0,39.73,2,urban
51690,Black,Non-White,43.99,44.46,1.02,0.12,5.66,5,rural
51700,White,Non-White,42.92,39.96,3.16,0.18,8.98,2,urban
51710,White,Non-White,43.44,40.51,3.49,0.05,8.04,1,urban
51720,White,White,88.59,3.07,4.63,0,1.21,5,rural
51730,Black,Non-White,15.07,76.29,0.9,0.08,4.9,2,urban
51735,White,White,91.44,1.12,2.47,0,2.8,2,urban
51740,Black,Non-White,37.66,52.24,1.37,0.28,4.46,2,urban
51750,White,White,83.29,9.8,1.55,0.02,2.9,4,suburban
51760,Black,Non-White,40.8,46.58,2.09,0.01,6.91,1,urban
51770,White,White,58.5,28.06,2.94,0.02,6.27,3,suburban
51775,White,White,85.29,6.56,1.67,0.09,3.29,3,suburban
51790,White,White,81.06,10.96,1.38,0.13,3.11,4,suburban
51800,White,Non-White,49.3,41.05,1.9,0.02,4.37,2,urban
51810,White,White,61.71,18.42,6.58,0.08,8.17,1,urban
51820,White,White,75.14,13.41,1.08,0.33,8.08,4,suburban
51830,White,White,67.72,15.05,6.45,0,7.05,2,urban
51840,White,White,66.03,10.01,2.06,0,17.77,4,suburban
53001,Hispanic,Non-White,33.82,0.42,0.7,0.21,63.58,5,rural
53003,White,White,90.37,0.5,0.86,0.23,4.01,4,suburban
53005,White,White,70.42,1.42,2.49,0.07,21.69,3,suburban
53007,White,White,67.97,0.55,0.76,0.04,27.94,4,suburban
53009,White,White,82.78,0.98,1.68,0.03,6.34,5,rural
53011,White,White,78.49,1.66,4.51,0.77,9.62,2,urban
53013,White,White,85.4,0.9,1.8,1.05,7.79,4,suburban
53015,White,White,83.63,0.71,1.27,0.2,8.97,4,suburban
53017,White,White,64.16,0.45,0.69,0.27,31.6,4,suburban
53019,White,White,73.21,0.13,0.65,0.26,4.74,6,rural
53021,Hispanic,Non-White,40.37,1.84,2.03,0.15,53.09,3,suburban
53023,White,White,89.46,0,3.18,0,1.88,6,rural
53025,White,White,53.97,0.84,0.89,0.03,41.57,5,rural
53027,White,White,79.41,1.12,1.51,0.27,9.96,5,rural
53029,White,White,79.16,3.04,4.88,0.38,7.74,5,rural
53031,White,White,88.38,0.57,1.65,0.05,3.67,6,rural
53033,White,White,59.61,6.28,17.51,0.76,9.67,1,urban
53035,White,White,76.69,2.57,4.73,0.8,7.77,3,suburban
53037,White,White,84.08,0.89,1.59,0.85,8.81,5,rural
53039,White,White,82.16,0.73,0.62,0,11.99,6,rural
53041,White,White,83.39,0.45,1.23,0.18,10.24,5,rural
53043,White,White,91.33,0.74,0.65,0.26,3.38,6,rural
53045,White,White,80.53,1.03,1.17,0.42,9.98,5,rural
53047,White,White,64.89,0.41,0.85,0.25,20.11,6,rural
53049,White,White,81.86,0.35,1.68,0.4,9.78,6,rural
53051,White,White,88.45,0.37,0.97,0,3.85,3,suburban
53053,White,White,66.76,6.51,6.21,1.39,10.87,2,urban
53055,White,White,88.44,0.71,1.3,0.2,6.45,6,rural
53057,White,White,74.39,0.7,1.88,0.23,18.39,4,suburban
53059,White,White,87.7,0.49,1.11,0.12,6.34,2,urban
53061,White,White,69.57,2.94,10.7,0.51,10.2,2,urban
53063,White,White,84.56,1.62,2.24,0.54,5.73,3,suburban
53065,White,White,86.6,0.41,0.65,0.11,3.71,3,suburban
53067,White,White,74.96,3.01,5.62,0.81,8.94,3,suburban
53069,White,White,86.74,1.27,1.85,0.02,6.89,6,rural
53071,White,White,71.67,1.7,1.62,0.13,21.33,4,suburban
53073,White,White,78.92,0.93,4.1,0.27,9.42,4,suburban
53075,White,White,78.58,2.14,8.44,0.16,6.31,5,rural
53077,Hispanic,Non-White,43.2,0.94,0.94,0.11,49.29,4,suburban
54001,White,White,95.47,0.88,0.77,0,0.93,6,rural
54003,White,White,83.9,7.4,1.08,0,4.4,3,suburban
54005,White,White,97.64,0.97,0.12,0,0.4,4,suburban
54007,White,White,96.84,0.75,0,0.13,0.22,6,rural
54009,White,White,95.58,1.66,0.48,0.23,0.89,4,suburban
54011,White,White,89.85,4.86,1.3,0.02,1.4,3,suburban
54013,White,White,97.15,0.04,0,0,1.86,6,rural
54015,White,White,99.24,0.01,0,0.1,0.17,4,suburban
54017,White,White,95.19,1.47,0.53,0,0.57,5,rural
54019,White,White,92.45,5.22,0.06,0.06,1.16,4,suburban
54021,White,White,81.49,12.01,0.93,0,4.1,6,rural
54023,White,White,96.55,1.56,0.2,0.19,0.74,6,rural
54025,White,White,92.24,2.82,0.62,0,1.98,6,rural
54027,White,White,95.73,1.05,0.45,0,1.46,4,suburban
54029,White,White,93.75,1.87,0.46,0.02,1.57,4,suburban
54031,White,White,89.97,5.56,1.64,0,1.56,6,rural
54033,White,White,94.17,1.54,0.58,0.03,1.65,5,rural
54035,White,White,96.94,0.38,0.34,0,0.68,6,rural
54037,White,White,83.21,6.12,1.36,0,5.74,2,urban
54039,White,White,87.72,7.13,1.17,0,1.11,4,suburban
54041,White,White,96.32,0.18,0.5,0,1.24,6,rural
54043,White,White,97.76,0.19,0.12,0.04,0.7,3,suburban
54045,White,White,95.93,1.68,0.09,0.01,0.94,5,rural
54047,White,White,88.7,8.31,0.07,0,1.45,6,rural
54049,White,White,92.48,3.49,0.48,0,1.3,5,rural
54051,White,White,96.67,0.86,0.25,0.29,1,4,suburban
54053,White,White,96.61,0.42,0.64,0,0.72,5,rural
54055,White,White,90.29,6.19,0.59,0,1.18,5,rural
54057,White,White,93.99,3.34,0.43,0,0.92,4,suburban
54059,White,White,95.75,2.34,0.08,0,0,6,rural
54061,White,White,87.93,3.58,3.45,0,2.13,4,suburban
54063,White,White,96.28,0.93,0,0,0.93,6,rural
54065,White,White,95.27,1.09,0,0,0.39,6,rural
54067,White,White,96.94,0.68,0.22,0,0.82,6,rural
54069,White,White,92.11,3.89,0.71,0,1.16,4,suburban
54071,White,White,94.73,3.33,0,0,0.81,6,rural
54073,White,White,95.84,0.28,0,0,2.94,6,rural
54075,White,White,98.11,0.44,0.11,0,0.58,6,rural
54077,White,White,90.58,4.97,0.25,0.02,2.52,4,suburban
54079,White,White,95.46,1.39,0.75,0.1,1.17,3,suburban
54081,White,White,87.07,7.67,0.92,0.01,1.64,4,suburban
54083,White,White,95.78,2.13,0.55,0,0.96,5,rural
54085,White,White,96.86,0.27,0,0,0.71,6,rural
